"","CO_ANO","CO_MES","CO_NCM","CO_UNID","CO_PAIS","SG_UF_NCM","CO_VIA","CO_URF","QT_ESTAT","KG_LIQUIDO","VL_FOB"
"1535",2018,2,85044090,11,160,"ND",4,817600,202,10,513
"1536",2018,10,7032090,10,580,"ES",0,727600,156,156,559
"1537",2018,1,82019000,10,442,"RS",1,1017700,40,40,204
"1538",2018,5,87083090,11,158,"MG",7,1017500,38,112,652
"1539",2018,4,39232110,10,493,"SP",1,817800,1047,1047,10618
"1540",2018,12,21050010,10,580,"MA",0,320151,91,91,232
"1541",2018,3,90271000,11,169,"RE",1,817800,1,0,244
"1542",2018,12,32082019,10,351,"SP",0,817800,1070,1070,6372
"1543",2018,10,90184100,11,780,"SP",0,817800,59,1352,7112
"1544",2018,8,44071100,16,858,"PR",0,927800,50,21120,10763
"1545",2018,8,39199090,10,845,"SP",0,817600,1149,14,194
"1546",2018,11,85437099,11,845,"RS",7,1017701,144,20,2100
"1547",2018,10,87141000,10,365,"AM",4,227700,3,3,11
"1548",2018,11,84798999,11,169,"SP",1,817800,1,5385,503477
"1549",2018,7,90328982,11,244,"RS",4,817600,4,2,246
"1550",2018,8,84833029,11,687,"SP",0,817800,2091,154,5812
"1551",2018,12,21041011,10,434,"PR",0,917800,28,3,36
"1552",2018,12,73269090,10,97,"RS",7,230155,159,159,862
"1553",2018,6,33052000,10,383,"RS",4,817700,25,25,1225
"1554",2018,11,84213990,11,63,"RS",7,1017503,4,4,74
"1555",2018,12,73182400,10,589,"SP",4,817600,2,1,212
"1556",2018,9,40161010,10,589,"SP",4,817700,1,1,23
"1557",2018,8,85122011,11,169,"RS",4,817700,1468,664,10522
"1558",2018,11,7133590,10,858,"MT",1,917800,440080,440080,198237
"1559",2018,4,73151100,10,687,"SP",4,817700,2,2,84
"1560",2018,12,90328981,11,623,"SC",4,817700,1,1,544
"1561",2018,8,72163200,10,97,"SP",6,147600,7984,7984,5349
"1562",2018,11,35061090,10,196,"SP",0,817800,9,9,55
"1563",2018,7,87089483,11,169,"PR",4,817600,4,8,410
"1564",2018,11,84839000,10,275,"MG",4,817700,2,5,52974
"1565",2018,1,84133090,11,190,"SP",4,817600,8,16,3851
"1566",2018,2,87089300,11,589,"SP",4,817700,377,2025,45537
"1567",2018,1,39249000,10,586,"RS",7,917500,9797,9797,50871
"1568",2018,4,84669420,10,493,"SP",4,817700,0,0,379
"1569",2018,12,68029390,10,249,"SP",1,817800,52512,52512,21587
"1570",2018,12,42022210,11,399,"SC",4,817700,8,4,103
"1571",2018,4,90189095,11,589,"RS",4,1017801,3,0,1038
"1572",2018,4,85014019,11,687,"SC",1,817800,9,556,1841
"1573",2018,4,39011092,10,586,"SP",7,917500,302475,302475,488261
"1574",2018,11,33072090,10,337,"PR",1,927800,478,478,5615
"1575",2018,12,17049020,10,391,"SP",1,817800,14547,14547,24275
"1576",2018,12,40091100,10,249,"SP",4,817700,54,52,3381
"1577",2018,10,73182200,10,847,"SP",1,817800,33,33,2442
"1578",2018,10,73209000,10,628,"SP",4,817600,0,0,8
"1579",2018,12,87089490,10,63,"SP",4,817600,12,12,287
"1580",2018,11,84836090,11,361,"PR",1,917800,150,50,6744
"1581",2018,2,84099114,11,63,"MG",7,1017503,68900,2356,73164
"1582",2018,1,38061000,10,63,"ND",7,1017500,26000,26000,22620
"1583",2018,7,94035000,11,845,"RS",7,1010252,1370,39267,38969
"1584",2018,9,90261029,11,232,"SP",1,817800,22,35,4062
"1585",2018,10,84849000,10,63,"SP",7,1017503,320,362,24545
"1586",2018,7,94036000,11,244,"SC",1,927800,4,220,134
"1587",2018,12,85182200,11,770,"SP",1,817800,5,2,100
